species,longitude,latitude,year,source
Desmodus rotundus,-38.036106,-12.568056,2015,portalbio
Desmodus rotundus,-47.853889,-15.764167,2015,portalbio
Desmodus rotundus,-47.706944,-15.657222,2015,portalbio
Desmodus rotundus,-51.020056,0.119653,2008,portalbio
Desmodus rotundus,-46.946389,-21.591944,2014,portalbio
Desmodus rotundus,-52.350417,-14.700722,2013,portalbio
Desmodus rotundus,-52.359869,-14.719092,2014,portalbio
Desmodus rotundus,-52.359869,-14.719092,2014,portalbio
Desmodus rotundus,-52.359869,-14.719092,2014,portalbio
Desmodus rotundus,-52.359869,-14.719092,2014,portalbio
Desmodus rotundus,-52.359869,-14.719092,2014,portalbio
Desmodus rotundus,-52.359869,-14.719092,2014,portalbio
Desmodus rotundus,-52.360728,-14.722792,2014,portalbio
Desmodus rotundus,-52.360728,-14.722792,2014,portalbio
Desmodus rotundus,-52.360728,-14.722792,2014,portalbio
Desmodus rotundus,-52.360728,-14.722792,2014,portalbio
Desmodus rotundus,-52.360728,-14.722792,2014,portalbio
Desmodus rotundus,-42.669717,-22.044717,2008,portalbio
Desmodus rotundus,-42.669717,-22.044717,2008,portalbio
Desmodus rotundus,-42.669717,-22.044717,2009,portalbio
Desmodus rotundus,-47.641667,-22.708333,2014,portalbio
Desmodus rotundus,-39.566111,-15.393611,2010,portalbio
Desmodus rotundus,-51.595556,-25.906389,2015,portalbio
Desmodus rotundus,-43.052833,-21.394611,2015,portalbio
Desmodus rotundus,-42.792306,-21.300389,2014,portalbio
Desmodus rotundus,-60.0858,-2.638331,2010,portalbio
Desmodus rotundus,-48.460285,-21.636202,2014,portalbio
Desmodus rotundus,-48.460285,-21.636202,2014,portalbio
Desmodus rotundus,-48.460285,-21.636202,2014,portalbio
Desmodus rotundus,-43.381944,-22.883611,2008,portalbio
Desmodus rotundus,-43.381944,-22.883611,2008,portalbio
Desmodus rotundus,-59.961667,-2.364167,2014,portalbio
Desmodus rotundus,-56.639444,-1.698333,2013,portalbio
Desmodus rotundus,-56.695556,-1.198611,2013,portalbio
Desmodus rotundus,-46.163586,-23.749616,2015,portalbio
Desmodus rotundus,-39.284,-13.848,2015,portalbio
Desmodus rotundus,-54.992806,-3.054611,2015,portalbio
Desmodus rotundus,-35.139556,-6.728969,2015,portalbio
